custom/avg_center_dev,custom/routes_completed,custom/mean_reward,custom/avg_speed,custom/total_reward,custom/total_distance,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/std,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss
0.49185259064651643,0.8205128205128205,0.15035632880331504,11.959407593521577,21.049886032464105,30.764738820958883,,,,,,,,,,,,,,,,,
0.6090492561631106,0.059322033898305086,0.044388849747074854,8.633409298958147,4.039385326983812,14.382332882611081,,,,,,,,,,,,,,,,,
0.3725066464497762,0.3103448275862069,0.2015612359745145,11.250213021837896,19.148317417578877,19.60017606220208,,,,,,,,,,,,,,,,,
0.6563587231143692,0.1320754716981132,-0.07900720576263029,6.8577120395393,-4.582417934232557,7.216274173231795,,,,,,,,,,,,,,,,,
0.7430926359620604,0.43103448275862066,0.05564836114050522,11.260205891656224,7.011693503703658,26.072197001427412,,,,,,,,,,,,,,,,,
1.0960328952922191,0.0532994923857868,0.020557898054809634,12.288044535054219,1.9941161113165347,21.894081350881606,,,,,,,,,,,,,,,,,
0.4008541199454101,0.75,0.20025448350218092,12.133163625125365,32.84173529435767,36.59127645450644,,,,,,,,,,,,,,,,,
0.6727544733103957,0.02823529411764706,0.0004237011883314601,9.455639421017388,0.028811680806539286,11.726535372785293,,,,,,,,,,,,,,,,,
0.5471798092634398,0.13333333333333333,-0.058091800710802714,5.049012285972762,-4.298793252599401,6.771952536189929,,,,,,,,,,,,,,,,,
,,,,,,1024,28,1,35,8.545454333333332,100.44444444444444,,,,,,,,,,,
0.5864167635872338,0.14835164835164835,0.11773331941970497,12.422650050056118,28.609196618988307,55.61576763074845,,,,,,,0.00841554,1.009714126586914,-0.013107728079194202,-0.02089214324951172,0.075390625,-2.8471512615680696,0.8977580070495605,10,0.2,9.999979724810381e-05,3.7265159972012043
0.5897720478261601,0.4523809523809524,0.03452858795494314,11.153194052708681,3.1766300918547685,18.81090793502517,,,,,,,,,,,,,,,,,
0.44893151658574953,0.14925373134328357,0.2780110617204616,13.777257195308435,43.369725628392004,39.559229511069134,,,,,,,,,,,,,,,,,
0.3321672758225369,0.05726872246696035,0.07779140399515969,8.075039691045522,6.767852147578893,12.869795154139865,,,,,,,,,,,,,,,,,
0.7667205492288122,0.1643835616438356,0.05314816000079477,11.136749955117981,6.377779200095372,24.528652073582634,,,,,,,,,,,,,,,,,
0.5598944900226578,0.6590909090909091,0.14723334768797994,9.3186375867543,24.44073571620467,28.444587498437613,,,,,,,,,,,,,,,,,
0.7479351287190452,0.045714285714285714,-0.09942921352518992,7.730070509560044,-5.6674651709358255,7.984320979681797,,,,,,,,,,,,,,,,,
0.556825336997376,0.3829787234042553,0.11401711170896782,9.8121745880814,11.173676947478846,17.718219183618203,,,,,,,,,,,,,,,,,
,,,,,,2048,52,2,39,11.46493782352941,112.6470588235294,,,,,,,,,,,
0.9646071027677368,0.25252525252525254,0.12732677630812403,16.94687679976766,52.20397828633085,128.1739244479686,,,,,,,0.009726111,1.0130565166473389,-0.014752833981765434,0.457805871963501,0.080859375,-2.8605075284838675,1.3954181671142578,20,0.2,9.999959449641523e-05,5.668632099032402
0.6906551284405075,1.0142045454545454,0.14704756101421768,14.62479275999107,54.40759757526054,193.1003343828488,,,,,,,,,,,,,,,,,
0.33881842219965247,0.06352087114337568,0.18414742443082857,11.807069460593379,30.75261987994837,36.23419604334049,,,,,,,,,,,,,,,,,
0.5337841184304416,0.34523809523809523,0.11975662866077169,10.88669942615564,16.526414755186494,27.592920301714912,,,,,,,,,,,,,,,,,
,,,,,,3072,73,3,42,16.602368999999996,142.66666666666666,,,,,,,,,,,
0.43409429521217274,0.14950166112956811,0.2231660399313163,14.890390154944578,35.03706826921666,43.0656420129817,,,,,,,0.006722003,1.0148718357086182,-0.015188197413226589,0.5182569622993469,0.08642578125,-2.8657165616750717,2.6473746299743652,30,0.2,9.999939174493428e-05,7.119082766771316
0.35992958451223167,0.1626984126984127,0.20678937775049422,14.743763400145282,32.052353551326604,42.08369847165886,,,,,,,,,,,,,,,,,
0.24244303395664682,0.03282275711159737,0.0760274432863253,8.6599314610194,7.374661998773554,15.374878762988374,,,,,,,,,,,,,,,,,
0.6172482527820086,1.150259067357513,0.23510997498262004,13.419546495499073,62.304143370394314,206.99461056949804,,,,,,,,,,,,,,,,,
,,,,,,4096,93,4,43,19.410926319999998,146.64,,,,,,,,,,,
0.6285125172542531,0.4026666666666667,0.13685007202196475,15.808768155634901,72.94108838770721,155.3056594603695,,,,,,,0.008063624,1.0196871757507324,-0.015542215248569847,0.5652982592582703,0.0947265625,-2.8718748927116393,2.166033983230591,40,0.2,9.999918899366096e-05,5.75952277481556
0.7746759266172558,2.2293729372937294,0.21863892763740558,16.341080379183953,172.506113905913,448.4277042951435,,,,,,,,,,,,,,,,,
,,,,,,5120,114,5,44,27.06104307407407,184.66666666666666,,,,,,,,,,,
0.7838245945358921,1.1611721611721613,0.14237981979812075,15.150599167464922,99.66587385868452,282.8186468052445,,,,,,,0.0072356444,1.019728183746338,-0.016057653864845634,0.6389863193035126,0.08818359375,-2.877391551434994,1.2569013833999634,50,0.2,9.999898624259523e-05,3.783498452603817
0.59249833731329,0.6206896551724138,0.13524497069388527,14.157915269442428,19.20478583853171,36.91411650122609,,,,,,,,,,,,,,,,,
