custom/routes_completed,custom/total_distance,custom/avg_speed,custom/total_reward,custom/mean_reward,custom/avg_center_dev,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/entropy_loss,train/clip_range,train/std,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl
0.7948717948717948,30.24838263518177,11.842010334656596,23.18979600449577,0.1668330647805451,0.5162065802307354,,,,,,,,,,,,,,,,,
0.06779661016949153,16.325244120904244,9.181327347074316,3.106599128609913,0.03202679514030838,0.6365227351025015,,,,,,,,,,,,,,,,,
0.3103448275862069,18.46100302808918,11.449641311953192,17.830040679606785,0.20261409863189528,0.3545300739781729,,,,,,,,,,,,,,,,,
0.1320754716981132,7.21488169929944,6.866290263248936,-3.7699512253693985,-0.06499915905809307,0.583943941283402,,,,,,,,,,,,,,,,,
0.4482758620689655,26.807583970250562,11.217507517719245,6.276977901242891,0.04828444539417608,0.7706613684178676,,,,,,,,,,,,,,,,,
0.06345177664974619,25.072058282792568,12.636212387170222,0.48210913383206666,0.004463973461408025,1.2724948386666943,,,,,,,,,,,,,,,,,
0.5,22.39336182922125,9.849989794071798,6.8213906480230335,0.055011214903411564,0.7256174167240533,,,,,,,,,,,,,,,,,
0.03058823529411765,12.985749245504849,9.106761983367656,2.893349213516869,0.037094220686113705,0.5680589172918675,,,,,,,,,,,,,,,,,
0.13333333333333333,6.41829101042822,5.909022753520573,-6.899097683157747,-0.11498496138596244,0.8661121441588684,,,,,,,,,,,,,,,,,
,,,,,,97.0,46,5.511697333333334,21,1,1024,,,,,,,,,,,
0.1978021978021978,77.87341659795493,13.27775726495292,44.59914854059957,0.14024889478175967,0.8983713444120982,,,,,,,0.0007250308990478516,0.665960431098938,0.07216796875,3.4959539040923118,-2.8450640961527824,0.2,1.0076079368591309,-0.010702460922766477,9.993242753433601e-05,10,0.007133417
0.30952380952380953,13.035375203937292,10.66946108020403,-2.705815593496941,-0.04038530736562598,0.8850990003830155,,,,,,,,,,,,,,,,,
0.11194029850746269,30.366654536221176,11.374295091483518,20.159118869781658,0.1390284059984942,0.7187411732986202,,,,,,,,,,,,,,,,,
0.05726872246696035,12.86094949231483,8.166568410133298,4.091903839997416,0.04758027720927228,0.4518022001661521,,,,,,,,,,,,,,,,,
0.1780821917808219,26.72365339449607,11.636111719500605,6.167159256958033,0.049337274055664265,0.8788015596477428,,,,,,,,,,,,,,,,,
0.6136363636363636,26.0804152963683,9.09226664693491,29.444800564702454,0.18874872156860548,0.406719986125091,,,,,,,,,,,,,,,,,
0.045714285714285714,7.904971917509101,8.086042668057118,-5.628635979781397,-0.10423399962558143,0.7441622057217301,,,,,,,,,,,,,,,,,
0.3829787234042553,17.684446521801874,9.630320272669001,9.882676442364804,0.09882676442364804,0.6248453476085735,,,,,,,,,,,,,,,,,
,,,,,,112.70588235294117,93,9.136828647058824,21,2,2048,,,,,,,,,,,
