custom/routes_completed,custom/mean_reward,custom/avg_speed,custom/total_reward,custom/total_distance,custom/avg_center_dev,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/n_updates
0.8205128205128205,0.18034422256985333,12.106153317563175,25.248191159779466,31.13945382228121,0.44256524511135437,,,,,,,,,,,,,,,,,
0.059322033898305086,0.043506201242177044,8.772428822141025,4.002570514280288,14.788665503263474,0.6250837015868276,,,,,,,,,,,,,,,,,
0.3275862068965517,0.20464086223986575,11.325335568400982,19.23624105054738,19.5137649186654,0.366665917997753,,,,,,,,,,,,,,,,,
0.1320754716981132,-0.0743155666254701,6.938268206693078,-4.235987297651796,7.159456660039723,0.6239986529430842,,,,,,,,,,,,,,,,,
0.43103448275862066,0.057013737108096506,11.227115882063613,7.18373087562016,25.997712936485186,0.7383399067139446,,,,,,,,,,,,,,,,,
0.0532994923857868,0.020269343962959954,12.167634210012702,1.9863957083700754,21.900889206910506,1.0932829652856462,,,,,,,,,,,,,,,,,
0.7727272727272727,0.12028219439476683,12.131397368249612,19.966844269531293,37.0659069258254,0.5255431927952824,,,,,,,,,,,,,,,,,
0.02823529411764706,0.008811682204896054,9.4271687158848,0.6080060721378278,11.856186090037227,0.6409565731170723,,,,,,,,,,,,,,,,,
0.13333333333333333,-0.06914298463909235,5.012597778295047,-5.047437878653742,6.632486678659916,0.6148531386997778,,,,,,,,,,,,,,,,,
,,,,,,1024,1,7.624914555555557,43,23,100.66666666666667,,,,,,,,,,,
0.14835164835164835,0.12184648100240086,12.482342559329474,29.48684840258101,55.64858746086247,0.5938607309799852,,,,,,,3.4901837296783924,0.8266668319702148,0.0074038208,0.06376953125,-0.01947021484375,1.0090794563293457,-2.8464877992868423,-0.01049573501222767,9.9797351809024e-05,0.2,10
0.4523809523809524,0.0334923516255701,11.158020759707085,3.1147887011780195,19.012359622400254,0.5988841203634437,,,,,,,,,,,,,,,,,
0.12686567164179105,0.3178444068470469,12.940216237698237,45.13390577228066,33.84311075299047,0.2199853962316285,,,,,,,,,,,,,,,,,
0.05726872246696035,0.07106558789701505,7.284676936322448,6.822296438113444,12.9110508474987,0.30398718891896404,,,,,,,,,,,,,,,,,
0.1917808219178082,0.05040381071257191,11.878613055060233,6.653303014059492,28.817880812566727,0.8737218149245262,,,,,,,,,,,,,,,,,
0.5909090909090909,0.15220124024489043,8.825806919574307,24.04779595869269,25.650975330732763,0.5390262715702087,,,,,,,,,,,,,,,,,
0.045714285714285714,-0.09929767276575334,7.896212652076315,-5.659967347647941,8.172583128442056,0.7752096905903054,,,,,,,,,,,,,,,,,
